Category	pathway	celltype	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
Type I IFN response	btm_M75_antiviral IFN signature	Mono_Classical	0.00135998912008704	0.0192919146302002	-0.653727147289267	-1.92165831341587	69	17	IL1B PTX3 DDX58 RSAD2 SERPING1 RARA OAS3 IRF7 BCL3 HERC5 PML OAS1 IFIH1
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	gated B_CD71	0.0135354981453765	0.305676666449752	-0.48654823940051	-1.64755794939909	623	27	MX1 ISG20 BST2 IRF7 IFITM1 IRF1 JAK1 SHMT2 XAF1 SP100 C19orf66 HLA-F HLA-C SAMHD1 STAT1 HLA-E HLA-B
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	gated Plasmablast	0.0127533876185862	0.156080703122814	-0.50254398361169506	-1.62511020035258	815	29	HLA-B HLA-A HLA-E IFI35 ISG15 IRF7 HLA-F IFI6 STAT1 SP100 SHMT2 MX1 IRF3 ISG20 BST2 JAK1 OAS2
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	gated Tfh	1.9925478709626e-5	0.00104346077514229	-0.772013905778504	-2.76556850603785	0	35	HLA-B IFI6 IFITM1 ISG15 ISG20 STAT2 IFNAR2 BST2 IRF7 MX1 HLA-A SHMT2 STAT1 SP100 IFI35 HLA-E IFNAR1 HLA-C XAF1 OAS1
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	gated Treg	0.00147918188458729	0.0738712569373063	-0.519788569711126	-1.8434434741748	80	34	IRF7 ISG15 MX1 IFI6 IFITM3 HLA-E MX2 IFNAR1 SP100 IFITM1 GBP2 XAF1 IFNAR2 OAS1 BST2 ADAR PSMB8 IFI35 OAS2 IRF1
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	B_Mem	8.31693049818414e-5	0.0123219686958565	-0.57681191521384	-2.07697284788565	2	29	IFITM1 HLA-B XAF1 IFITM2 C19orf66 HLA-A ISG20 IRF7 BST2 STAT2 STAT1 HLA-C HLA-E
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	B_Naive	3.22258386774516e-5	0.00375744032280453	-0.616482989996516	-2.43145420477267	0	40	HLA-E IFI6 IRF1 ISG15 IFI35 HLA-C MX1 STAT1 XAF1 HLA-B HLA-A IFITM1 IKBKE IFITM3 IRF7 ADAR C19orf66 MX2 ISG20 BST2
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	CD4_Mem	4.82602191013947e-5	0.00981270251047127	-0.577008770826444	-2.41177943542556	0	45	IRF1 STAT1 IFI6 IFITM3 MX1 JAK1 BST2 ISG15 XAF1 ADAR OAS3 IRF7 GBP2 IFI27 HLA-A IFITM1 IFITM2 IKBKE OAS1 HLA-E C19orf66 IRF2 HLA-C MX2
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	CD4_Naive	2.84543592078306e-5	0.00772868006166362	-0.622998773442369	-2.43768032515185	0	43	ISG15 HLA-A HLA-E STAT2 IRF1 IFI6 BST2 MX1 STAT1 XAF1 OAS3 HLA-C IRF7 OAS1 IFI35 IFITM3 HLA-B MX2 GBP2 SP100 IFNAR1 OAS2
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	CD8_Mem	2.6439638305748e-5	0.00350951584018621	-0.57963511594321	-2.32889212824541	0	48	IRF1 IRF3 IRF4 GBP2 IRF7 JAK1 STAT1 IFNAR1 STAT2 IFI6 IFITM3 IFI27 MX2 OAS2 ISG15 OAS1 OASL MX1 BST2 XAF1 IFITM1
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	CD8_Naive	2.86213114284897e-5	0.012129019819204	-0.577512193259165	-2.20889617769049	0	38	GBP2 IP6K2 XAF1 IFI6 MX2 STAT1 BST2 OAS3 IFITM3 ISG15 IFITM1 IRF7 MX1 HLA-A OASL IRF1 PSMB8 C19orf66 IFITM2 IFI35
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	DNT	2.61416550935381e-4	0.0133925709940741	-0.547025147558984	-1.96977553404989	15	40	IFITM3 IFITM1 IFIT3 IFI35 IFITM2 IFI6 STAT1 ISG15 MX1 HLA-C HLA-A IRF1 IRF7 STAT2 IFNAR2 MX2 ADAR HLA-F
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	Granulocytes	2.18331077245535e-5	0.00134429563275465	-0.783334653686457	-2.58004533767289	0	24	IFI6 BST2 XAF1 ISG15 HLA-B IFITM1 MX1 HLA-C SP100 HLA-A IFITM3 IFNAR2 IFITM2 HLA-E IRF1 HLA-F
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	MAIT	1.82925713867598e-5	0.00503907151365476	-0.642468747638866	-2.25869560048549	0	34	STAT1 GBP2 ISG15 MX1 IFITM3 C19orf66 IRF7 BST2 IFI35 MX2 HLA-A HLA-C XAF1 IFI6 HLA-B IFITM1 IFNAR2 ADAR IRF2 IRF1
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	Mono_Classical	1.88989473286338e-5	7.22273773144145e-4	-0.574516874837395	-2.17455670379932	0	48	HLA-F IRF1 OASL MX2 IRF8 STAT1 EGR1 HLA-E RSAD2 BST2 IFIT3 ISG15 ISG20 IFIT2 MX1 XAF1 PSMB8 OAS3 IRF7 IFI35 OAS2 STAT2 GBP2 IFITM1 IRF2 HLA-B
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	Mono_NonClassical	1.27629703686371e-4	0.0151879347386782	-0.569223788157503	-2.09552713549715	5	37	IFIT3 IFI27 IFIT2 IRF1 MX2 IFI6 ADAR OAS1 IFNAR1 IRF7 ISG15 IFI35 BST2 GBP2 IRF8 IFITM1 HLA-E HLA-A MX1
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	NK_CD16hi	4.76593941961449e-4	0.0221722883148334	-0.472306990770888	-1.89317447470192	17	49	IRF1 STAT1 IRF8 OAS1 IFI35 IFI27 ADAR IFITM3 OAS3 IFNAR2 JAK1 STAT2 HLA-E MX1 RSAD2 MX2 IRF7 OAS2 IFITM1 IFI6 IRF3 HLA-C IFITM2
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	NK_CD56hiCD16lo	3.60113795959523e-5	0.00625192620965967	-0.722810289780258	-2.7195958834262	0	31	BST2 IFI6 IFITM1 MX1 HLA-B ISG15 STAT1 JAK1 IRF1 XAF1 IFITM3 IRF7 HLA-C ADAR IFITM2 HLA-E OASL HLA-F HLA-A
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	Platelets	1.75750013181251e-5	3.53954825896062e-4	-0.680309627090517	-2.26112356588837	0	22	ISG15 IFITM1 IFNAR1 SAMHD1 BST2 IRF1 ISG20 STAT1 PSMB8 SP100 IFI6 ADAR
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	Treg	1.9662203346507e-5	0.00426135920025734	-0.695510827220079	-2.57938448053048	0	41	OASL IFI6 GBP2 IRF7 IFI27 OAS2 PSMB8 STAT1 MX1 OAS1 HLA-E IRF2 HLA-C SP100 IFI35 HLA-B IFITM3 BST2 IRF1 IFNAR1 STAT2 XAF1 JAK1 IRF3 MX2 ISG15 IFITM1 ADAR HLA-A OAS3
Type I IFN response	GO_RESPONSE_TO_INTERFERON_BETA	CD4_Mem	0.00395033860045147	0.0781045769431858	-0.600813068577423	-1.90131385072091	118	16	IRF1 PNPT1 STAT1 IFITM3 BST2 XAF1 IFITM1 IFITM2 PLSCR1 IKBKE
Type I IFN response	GO_RESPONSE_TO_INTERFERON_BETA	CD8_Mem	0.00247647350173353	0.0828686616924167	-0.630669080988434	-1.91109606741976	104	16	IRF1 HTRA2 STAT1 IFITM3 PLSCR1 BST2 XAF1 IFITM1
Type I IFN response	GO_RESPONSE_TO_INTERFERON_BETA	CD8_Naive	2.50225202682414e-4	0.0384790756124957	-0.724170445853666	-2.16047179358243	9	15	XAF1 UBE2G2 STAT1 BST2 PLSCR1 IFITM3 IFITM1 UBE2K IRF1 IFITM2 NDUFA13
Type I IFN response	GO_RESPONSE_TO_INTERFERON_BETA	MAIT	0.00802634286890307	0.397058267637164	-0.615654900230358	-1.74889611080366	428	15	STAT1 PLSCR1 IFITM3 BST2 XAF1 UBE2G2 IFITM1 IRF1
Type I IFN response	GO_RESPONSE_TO_INTERFERON_BETA	Treg	7.74085983089199e-4	0.0528120161962606	-0.677913248876254	-1.94188439834176	38	15	NDUFA13 STAT1 PLSCR1 IFITM3 BST2 IRF1 XAF1 IFITM1 TMEM173
Type I IFN response	reactome_Interferon alpha/beta signaling	gated B_CD71	0.0467451899091126	0.482686994276692	-0.435439611899801	-1.47449304297703	2154	27	MX1 ISG20 BST2 IRF7 SOCS1 IFITM1 IRF1 JAK1 XAF1 HLA-F HLA-C SAMHD1 STAT1 HLA-E HLA-B
Type I IFN response	reactome_Interferon alpha/beta signaling	gated Plasmablast	4.84503696294328e-4	0.0244923723131475	-0.59330341524358	-1.91860506435069	30	29	HLA-B HLA-A HLA-E IFI35 PTPN6 ISG15 IRF7 PTPN1 HLA-F IRF9 IFI6 STAT1
Type I IFN response	reactome_Interferon alpha/beta signaling	gated Tfh	1.99298469387755e-5	0.00104346077514229	-0.756703209995125	-2.7289460767925	0	36	HLA-B IFI6 IFITM1 ISG15 ISG20 SOCS1 STAT2 IFNAR2 BST2 IRF7 MX1 HLA-A SOCS3 PTPN1 STAT1 IFI35 HLA-E IFNAR1 HLA-C XAF1 OAS1
Type I IFN response	reactome_Interferon alpha/beta signaling	gated Treg	0.00200634735344545	0.0853474082027527	-0.504465567593848	-1.81306329010455	109	36	IRF7 ISG15 MX1 IFI6 IFITM3 HLA-E MX2 IFNAR1 SOCS1 IFITM1 GBP2 XAF1 IFNAR2 OAS1 BST2 ADAR PSMB8 PTPN11 IFI35 OAS2 IRF1
Type I IFN response	reactome_Interferon alpha/beta signaling	B_Mem	0.00124753957472762	0.0503334236111259	-0.529534088536033	-1.90673579187677	44	29	IFITM1 HLA-B PTPN6 XAF1 IFITM2 HLA-A ISG20 IRF7 BST2 STAT2 STAT1 HLA-C HLA-E
Type I IFN response	reactome_Interferon alpha/beta signaling	B_Naive	3.22258386774516e-5	0.00375744032280453	-0.549839296950982	-2.16860658317316	0	40	HLA-E IFI6 IRF1 ISG15 IFI35 HLA-C MX1 STAT1 XAF1 HLA-B HLA-A IFITM1 IFITM3 IRF7 ADAR MX2 ISG20 BST2
