Category	pathway	celltype	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	gated B_CD71	0.00617320357809889	0.0501542765411303	0.506874232345301	1.72869402398759	313	28	IFITM1 ADAR IRF1 MX1 ISG20 ISG15 IFITM2 IFI6 XAF1 HLA-B SP100 IRF7
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	gated Plasmablast	9.34265107066781e-5	0.00669015676971339	0.644371029104048	2.13499926560899	4	28	MX1 HLA-C STAT1 IFITM1 IFNAR2 HLA-B ISG15 BST2 IRF7 HLA-E IRF3 SP100 HLA-A ADAR PSMB8 IRF4 C19orf66 IFNAR1 IRF1
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	gated Tfh	0.0218931815659728	0.147894725019684	-0.459138439196024	-1.54816969343279	1380	35	STAT1 SAMHD1 HLA-E IRF2 GBP2 IKBKE IRF1 HLA-A JAK1 OAS2 IRF3
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	gated Treg	0.00198744769874477	0.0407029288702929	0.488087113288782	1.7902039795703	94	39	ADAR IFI6 ISG20 ISG15 IFITM1 MX1 HLA-C MX2 PSMB8 IP6K2 IFI35 OAS1 C19orf66 OASL HLA-B HLA-A IRF7 XAF1 SP100
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	CD8_Mem	0.00579380406889071	0.0704458715962903	0.416225845376195	1.66609386902118	218	48	ADAR OASL SP100 IRF4 ISG20 MX1 IFIT2 IP6K2 ISG15 IFI6 IFIT3 RSAD2 IFITM1 MX2 HLA-G IFI27 OAS1 XAF1 OAS3 IFNAR1
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	cDC	1.37208717327174e-4	0.00665684269176912	0.534436560656136	2.01150279494082	5	41	IFITM2 SP100 OASL IFITM3 STAT1 HLA-A HLA-E ADAR IFI6 IFITM1 IFNAR2 HLA-B ISG15 MX1 HLA-C C19orf66
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	DNT	0.00111987000724622	0.0326092840723874	0.488815678071495	1.85966373569357	50	43	ADAR MX1 ISG20 IP6K2 EGR1 ISG15 SP100 IFI6 IFIT3 MX2 IFITM1 IRF7 IFI27 XAF1 OAS1 OASL HLA-C IFIT2 IFI35 HLA-B OAS2
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	gammadeltaT	0.0101343867680721	0.0923110446917869	0.457503381784909	1.63504378084361	548	38	OASL IFITM1 EGR1 XAF1 IFIT2 IFI6 MX1 IRF7 IRF1 ADAR ISG15 IFI35 MX2 OAS2 SP100
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	Mono_Classical	0.00522333872063336	0.0754785918003184	0.423158771429003	1.66947910263639	222	50	SP100 IFI27 IFITM2 IFITM3 ADAR IFNAR2 C19orf66 OASL IFI6 IFITM1 IFIT3 HLA-B IP6K2 ISG15 STAT1 HLA-A HLA-G HLA-E MX1 IFIT2 IKBKE OAS3 RSAD2 GBP2
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	Mono_NonClassical	0.00970359915314044	0.157596431382839	0.425478292410662	1.60927472028484	494	47	IFI27 IFITM3 IFITM1 IRF1 OASL HLA-A IFIT3 IFIT2 IFITM2 IFIT1 ADAR IFI6 HLA-C ISG15 SP100 STAT1 HLA-B IFNAR1 IKBKE IFNAR2 OAS3 MX1 IRF8 TYK2 IP6K2
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	NK_CD16hi	2.91630212890055e-5	0.00310851363865162	0.527711905302307	2.14751696041929	0	49	IRF4 IFIT3 IFIT2 ADAR OASL IRF8 ISG20 IP6K2 OAS3 SP100 EGR1 IFI6 MX1 RSAD2 MX2 ISG15 HLA-G HLA-A IRF1 IFITM1 IRF7 HLA-B IFI27 HLA-C
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	NK_CD56hiCD16lo	0.00709805216242985	0.109051892313695	0.444702543222655	1.66909244616252	257	37	IP6K2 OASL ISG20 MX1 SP100 IFI6 XAF1 ADAR ISG15 SHMT2 IRF7 IFITM1 IRF8 HLA-B
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	NK_CD56loCD16lo	2.36753634168285e-5	0.00142441467045608	0.609865023159536	2.24989399395701	0	37	ADAR IFI6 MX1 IFITM1 ISG15 IFI27 MX2 SP100 XAF1 C19orf66 HLA-A IRF7 IP6K2 IRF8 ISG20 HLA-B
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	pDC	9.03485194136381e-5	0.00586093417901449	0.591472607096227	2.0978914615129	3	33	HLA-B IRF4 MX1 HLA-C ISG15 HLA-A IFITM2 IRF1 ISG20 ADAR HLA-F IP6K2 SP100 IFITM1 STAT1 IFITM3 MX2 BST2
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	Platelets	0.0119789306751246	0.186194248537263	0.471429153175987	1.67203483280662	422	26	IFITM3 IFI27 IFI6 IFITM2 IFNAR1 JAK1 HLA-B HLA-A ADAR
Type I IFN response	GO_RESPONSE_TO_TYPE_I_INTERFERON	Treg	4.7262329560224e-4	0.00775049363919302	0.504836640206651	1.91165332266806	19	43	IFITM1 IFI27 IFITM2 MX1 ISG15 ADAR OAS3 ISG20 IFI6 OASL IFI35 IRF7 OAS1 SP100 MX2 OAS2 HLA-C PSMB8 XAF1 HLA-B IP6K2 IRF4
Type I IFN response	GO_RESPONSE_TO_INTERFERON_BETA	Mono_NonClassical	0.0224372731884341	0.230865546734147	0.561811706523582	1.61881109997124	1149	16	IFITM3 IFITM1 IRF1 CDC34 IFITM2 NDUFA13 STAT1 IKBKE PNPT1 PLSCR1
Type I IFN response	GO_RESPONSE_TO_INTERFERON_BETA	NK_CD16hi	0.0319132730780949	0.176054461136267	0.498707279318072	1.57633116587313	1256	18	PLSCR1 IRF1 IFITM1 NDUFA13 XAF1 UBE2G2 PNPT1 STAT1 IKBKE HTRA2
Type I IFN response	GO_RESPONSE_TO_INTERFERON_BETA	Treg	0.0191884240327147	0.126661615915478	0.559567874173053	1.6497748533813	853	16	IFITM1 IFITM2 UBE2K PLSCR1 XAF1 NDUFA13 PNPT1
Type I IFN response	reactome_Interferon alpha/beta signaling	gated B_CD71	0.00463973262557751	0.0409419228595563	0.516599044977899	1.7618604870066	235	28	SOCS1 IFITM1 ADAR IRF1 MX1 ISG20 ISG15 IFITM2 IFI6 XAF1 HLA-B IRF7
Type I IFN response	reactome_Interferon alpha/beta signaling	gated Plasmablast	2.43495851205305e-4	0.0126992451628613	0.627141487026525	2.05860705410127	12	27	MX1 HLA-C STAT1 IFITM1 IFNAR2 HLA-B ISG15 BST2 IRF7 HLA-E IRF3 HLA-A ADAR
Type I IFN response	reactome_Interferon alpha/beta signaling	gated Tfh	0.0316510785105002	0.186515615970786	-0.441741042277237	-1.49879940903703	1999	36	STAT1 SAMHD1 HLA-E IRF2 GBP2 PTPN6 IRF1 HLA-A JAK1 OAS2 IRF3
Type I IFN response	reactome_Interferon alpha/beta signaling	gated Treg	2.72359682386709e-4	0.00749721276247285	0.527455280006253	1.95671514782759	12	41	SOCS1 ADAR IFI6 SOCS3 ISG20 ISG15 IRF9 IFITM1 MX1 HLA-C PTPN1 MX2 PSMB8 IP6K2 IFI35 OAS1 OASL HLA-B HLA-A IRF7 XAF1
Type I IFN response	reactome_Interferon alpha/beta signaling	CD8_Mem	0.00424639719737785	0.0595260509541921	0.418542763313768	1.69061255828108	159	50	ADAR PTPN1 OASL IRF4 ISG20 MX1 IFIT2 IP6K2 ISG15 IFI6 IRF9 IFIT3 RSAD2 SOCS1 IFITM1 MX2 HLA-G IFI27 OAS1 XAF1 OAS3 IFNAR1 IRF7 PTPN11 USP18
Type I IFN response	reactome_Interferon alpha/beta signaling	cDC	3.43902606781759e-4	0.0124905426783135	0.515130614509339	1.94946168621549	14	42	IFITM2 OASL IFITM3 STAT1 HLA-A HLA-E ADAR IFI6 PTPN1 IFITM1 IFNAR2 HLA-B ISG15 MX1 HLA-C
Type I IFN response	reactome_Interferon alpha/beta signaling	DNT	9.45449748246521e-4	0.0280865425211416	0.488916809113104	1.86916512141118	42	44	ADAR MX1 ISG20 IP6K2 EGR1 ISG15 IFI6 IRF9 IFIT3 MX2 IFITM1 IRF7 IFI27 XAF1 OAS1 OASL HLA-C IFIT2 IFI35 SOCS1 HLA-B PTPN1 OAS2
